author,year,title,journal,volume,issue,pages,first_page,last_page,doi,url,annotation,keywords,notes,raw_publication_info
"Winterowd, W. Ross",1980,Transferable and local writing skills,JAC: Journal of Advanced Composition,1,1,1-3,1,3,,,"Winterowd suggests that all writing skills fall into one of two categories: local skills and transferable skills. Local skills are defined as those skills that are domain-specific, such as knowledge of the genres of a particular field. Transferable skills, according to Winterowd, are the 'basics' of writing, including such issues as control of diction. Following Stephen Krashen's learning-acquisition theory, Winterowd asserts that the transferable skills, general skills that are important for competent writing across domains, must be acquired through modeling, practice, and feedback, while local skills can be taught. Two 'scenes' for writing instruction are suggested: a writing workshop (for acquistion) and a writing laboratory (for teaching local skills as well as editing). [Robin L. Snead, 'Transfer-Ability': Issues of Transfer and FYC, WPA-CompPile Research Bibliographies, No. 18]","academic, style, strategy, techcom, mode, community, syntax, flow, register, audience, organizational, MX, development, implicit, technique, imitation, advanced , skill-transfer, WAC, editing, genre, process",,"*JAC: Journal of Advanced Composition 01.1*, 1-3"
"Medlicott, Alex, Jr",1980,Cassette commentary,JAC: Journal of Advanced Composition,1,1,4-6,4,6,,,,"commenting, audiotape, pedagogy, response, audioresponse",,"*JAC: Journal of Advanced Composition 01.1*, 4-6"
"A reply to [Alex] Medlicott, Jr",1980,"A reply to [Alex] Medlicott, Jr.",JAC: Journal of Advanced Composition,1,1,7-8,7,8,,,,"commenting, audiotape, response, pedagogy, audioresponse",,"*JAC: Journal of Advanced Composition 01.1*, 7-8"
"Fulkerson, Richard",1980,Some theoretical speculations on the advanced composition curriculum,JAC: Journal of Advanced Composition,1,1,9-12,9,12,,,,"advanced, curriculum",,"*JAC: Journal of Advanced Composition 01.1*, 9-12"
"Gebhardt, Richard",1980,The subject is writing,JAC: Journal of Advanced Composition,1,1,13-17,13,17,,,,process,,"*JAC: Journal of Advanced Composition 01.1*, 13-17"
"Palumbo, Roberta M",1980,Writing for the pre-professional within the liberal arts curriculum,JAC: Journal of Advanced Composition,1,1,18-20,18,20,,,,"advanced, interdisciplinary, liberal arts, job-opportunity, pre-professional",,"*JAC: Journal of Advanced Composition 01.1*, 18-20"
"Hogan, Michael P",1980,Advanced composition: A survey,JAC: Journal of Advanced Composition,1,1,21-29,21,29,,,,"survey, advanced, data, genre, objectives, pedagogy, rhetorical, textbooks, pedagogy, major",,"*JAC: Journal of Advanced Composition 01.1*, 21-29"
"Sturm, Rita",1980,"Advanced composition, 1980: The state of the art",JAC: Journal of Advanced Composition,1,2,37-44,37,44,,,,"advanced, history",,"*JAC: Journal of Advanced Composition 01.2*, 37-44"
"Halpern, Jeanne W",1980,The structure of advanced composition,JAC: Journal of Advanced Composition,1,2,45-52,45,52,,,,"audience, bizcom, techcom, academic, keyhole, editing, arrangement",,"*JAC: Journal of Advanced Composition 01.2*, 45-52"
"Mathes, J. C",1980,A taxonomy of communication acts for the design of advanced writing courses,JAC: Journal of Advanced Composition,1,2,53-59,53,59,,,,"advanced, communicative, action, taxonomy, syllabus, communication-theory",,"*JAC: Journal of Advanced Composition 01.2*, 53-59"
"Stevenson, Dwight W",1980,Teaching rhetoric to students in upper division and professional degree program courses,JAC: Journal of Advanced Composition,1,2,60-68,60,68,,,,"advanced, techcom, upper-division, rhetoric, bizcom, pedagogy",,"*JAC: Journal of Advanced Composition 01.2*, 60-68"
