journal,article_count,year_min,year_max,src_crossref,src_scrape,src_rss,src_manual,with_doi,doi_pct,with_abstract,abstract_pct,refs_attempted,refs_attempted_pct,articles_with_outbound,outbound_yield_pct,raw_outbound_edges,resolved_outbound_edges,outbound_resolution_pct,articles_with_inbound,internal_inbound_edges,intra_journal_edges,intra_journal_pct,ext_crossref_citedby,ext_openalex_citedby,openalex_enriched,openalex_enriched_pct,isolates,pure_sources,pure_sinks,hubs
College English,10683,1939,2025,10683,0,0,0,10683,100.0,3746,35.1,10683,100.0,213,2.0,8421,797,9.5,837,3016,221,27.7,18159,27662,10683,100.0,9721,125,749,88
College Composition and Communication,6937,1950,2026,6937,0,0,0,6937,100.0,3284,47.3,6937,100.0,225,3.2,9560,1337,14.0,1109,4875,496,37.1,29409,108063,6937,100.0,5716,112,996,113
IEEE Transactions on Professional Communication,3246,1972,2026,3246,0,0,0,3246,100.0,2186,67.3,3246,100.0,1067,32.9,39830,4395,11.0,957,3744,1886,42.9,19072,39797,3246,100.0,1995,294,184,773
Rhetorica,2069,1983,2026,2069,0,0,0,2069,100.0,1824,88.2,2069,100.0,333,16.1,2338,71,3.0,149,343,47,66.2,2180,7245,2069,100.0,1696,224,40,109
Rhetoric Society Quarterly,1773,1976,2026,1773,0,0,0,1773,100.0,1025,57.8,1773,100.0,1155,65.1,41493,2318,5.6,654,2382,1007,43.4,5533,10463,1773,100.0,565,554,53,601
Research in the Teaching of English,1686,1967,2026,1686,0,0,0,1686,100.0,1214,72.0,1686,100.0,179,10.6,8748,362,4.1,512,2089,180,49.7,18754,32776,1686,100.0,1075,99,432,80
Computers and Composition,1671,1983,2026,1671,0,0,0,1671,100.0,47,2.8,1671,100.0,1078,64.5,37899,6199,16.4,908,4855,3502,56.5,12425,24158,1671,100.0,520,243,73,835
Journal of Technical Writing and Communication,1537,1971,2026,1537,0,0,0,1537,100.0,1290,83.9,1535,99.9,1208,78.7,32864,4900,14.9,886,3732,1446,29.5,6815,10272,1535,99.9,270,381,59,827
Teaching English in the Two-Year College,1523,1996,2025,1523,0,0,0,1523,100.0,1158,76.0,1523,100.0,199,13.1,4761,513,10.8,224,523,252,49.1,1379,2845,1523,100.0,1161,138,163,61
Rhetoric Review,1396,1982,2026,1396,0,0,0,1396,100.0,839,60.1,1396,100.0,811,58.1,28766,2132,7.4,497,1874,718,33.7,3961,8313,1396,100.0,538,361,47,450
Argumentation,1394,1987,2026,1394,0,0,0,1394,100.0,159,11.4,1394,100.0,991,71.1,30945,1585,5.1,581,1706,1426,90.0,10136,18487,1394,100.0,326,487,77,504
"JAC: A Journal of Rhetoric, Culture, and Politics",1180,1980,2014,0,0,0,1180,0,0.0,15,1.3,0,0.0,0,0.0,0,0,0.0,21,27,0,0.0,0,0,0,0.0,1159,0,21,0
Pedagogy,1151,2001,2026,1151,0,0,0,1151,100.0,1026,89.1,1151,100.0,968,84.1,20315,1830,9.0,433,1036,737,40.3,2368,4336,1151,100.0,167,551,16,417
Technical Communication Quarterly,1119,1992,2026,1119,0,0,0,1119,100.0,815,72.8,1119,100.0,905,80.9,31591,5945,18.8,704,6611,2261,38.0,10653,18013,1119,100.0,183,232,31,673
Journal of Business and Technical Communication,1055,1989,2026,1055,0,0,0,1055,100.0,621,58.9,1055,100.0,758,71.8,28110,3784,13.5,608,4567,992,26.2,11415,17464,1055,100.0,279,168,18,590
Assessing Writing,1039,1994,2026,1039,0,0,0,1039,100.0,72,6.9,1036,99.7,805,77.7,36087,3479,9.6,526,2734,2222,63.9,16595,24521,1036,99.7,226,287,8,518
WPA: Writing Program Administration,982,1977,2026,0,982,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,0.0,981,0,1,0
"Kairos: A Journal of Rhetoric, Technology, and Pedagogy",914,1996,2026,0,914,0,0,0,0.0,211,23.1,0,0.0,0,0.0,0,0,0.0,3,3,0,0.0,0,0,0,0.0,911,0,3,0
Written Communication,910,1984,2026,910,0,0,0,910,100.0,777,85.4,909,99.9,794,87.3,40207,4270,10.6,629,4601,1896,44.4,23157,38044,909,99.9,100,181,16,613
Writing Center Journal,907,1980,2025,0,907,0,0,882,97.2,536,59.1,882,97.2,0,0.0,0,0,0.0,170,355,0,0.0,1077,6264,882,97.2,737,0,170,0
Rhetoric & Public Affairs,733,2010,2025,733,0,0,0,733,100.0,610,83.2,733,100.0,149,20.3,12077,124,1.0,89,177,51,41.1,986,3099,733,100.0,531,113,53,36
Philosophy & Rhetoric,697,2005,2026,697,0,0,0,697,100.0,604,86.7,697,100.0,547,78.5,18891,655,3.5,169,466,180,27.5,1909,3183,697,100.0,147,381,3,166
Reflections: A Journal of Community-Engaged Writing and Rhetoric,599,2000,2026,599,0,0,0,599,100.0,599,100.0,599,100.0,395,65.9,7464,664,8.9,27,32,4,0.6,20,0,599,100.0,202,370,2,25
Composition Forum,553,2005,2026,0,505,48,0,0,0.0,383,69.3,505,91.3,0,0.0,0,0,0.0,11,14,0,0.0,0,0,0,0.0,542,0,11,0
Business and Professional Communication Quarterly,517,2014,2026,517,0,0,0,517,100.0,435,84.1,517,100.0,468,90.5,20570,1570,7.6,265,1144,902,57.5,3217,4216,517,100.0,41,211,8,257
Enculturation,499,,2023,0,489,10,0,0,0.0,10,2.0,0,0.0,0,0.0,0,0,0.0,4,5,0,0.0,0,0,0,0.0,495,0,4,0
Community Literacy Journal,465,2001,2022,465,0,0,0,465,100.0,281,60.4,465,100.0,0,0.0,0,0,0.0,47,119,0,0.0,191,3043,465,100.0,418,0,47,0
Peitho,427,2012,2026,123,304,0,0,123,28.8,11,2.6,123,28.8,0,0.0,0,0,0.0,8,8,0,0.0,2,10,123,28.8,419,0,8,0
Communication Design Quarterly,414,2012,2026,414,0,0,0,414,100.0,414,100.0,414,100.0,350,84.5,10238,1898,18.5,182,777,259,13.6,1884,2507,414,100.0,52,180,12,170
Across the Disciplines,370,2004,2026,370,0,0,0,370,100.0,45,12.2,370,100.0,340,91.9,10917,1874,17.2,243,611,440,23.5,1097,2517,370,100.0,24,103,6,237
Writing Lab Newsletter,354,1975,2013,0,354,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,354,0,0,0
The WAC Journal,345,1989,2026,345,0,0,0,345,100.0,33,9.6,345,100.0,0,0.0,0,0,0.0,84,197,0,0.0,299,1196,345,100.0,261,0,84,0
Writing and Pedagogy,345,2010,2026,345,0,0,0,345,100.0,324,93.9,345,100.0,81,23.5,3401,271,8.0,51,100,28,10.3,1015,1871,345,100.0,224,70,40,11
KB Journal: The Journal of the Kenneth Burke Society,339,2004,2023,0,330,9,0,0,0.0,123,36.3,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,339,0,0,0
Composition Studies,335,2016,2025,0,335,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,5,5,0,0.0,0,0,0,0.0,330,0,5,0
Advances in the History of Rhetoric,312,1998,2019,312,0,0,0,312,100.0,276,88.5,312,100.0,238,76.3,8087,422,5.2,82,160,48,11.4,533,891,312,100.0,69,161,5,77
Res Rhetorica,308,1970,2026,308,0,0,0,308,100.0,287,93.2,308,100.0,0,0.0,0,0,0.0,2,2,0,0.0,130,218,308,100.0,306,0,2,0
Computers and Composition Digital Press,307,2009,2026,0,307,0,0,0,0.0,27,8.8,0,0.0,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,0.0,306,0,1,0
Journal of Writing Research,301,2008,2026,301,0,0,0,301,100.0,267,88.7,295,98.0,0,0.0,0,0,0.0,118,400,0,0.0,4251,6743,295,98.0,183,0,118,0
Poroi,260,2001,2026,260,0,0,0,260,100.0,194,74.6,260,100.0,0,0.0,0,0,0.0,49,130,0,0.0,469,909,260,100.0,211,0,49,0
Journal of Academic Writing,245,2011,2025,245,0,0,0,245,100.0,224,91.4,245,100.0,0,0.0,0,0,0.0,23,25,0,0.0,496,1007,245,100.0,222,0,23,0
Present Tense: A Journal of Rhetoric in Society,241,2010,2026,0,0,241,0,0,0.0,238,98.8,0,0.0,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,0.0,240,0,1,0
Praxis: A Writing Center Journal,238,2012,2026,0,238,0,0,0,0.0,79,33.2,0,0.0,0,0.0,0,0,0.0,2,2,0,0.0,0,0,0,0.0,236,0,2,0
The Peer Review,234,2015,2025,0,234,0,0,0,0.0,84,35.9,0,0.0,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,0.0,233,0,1,0
Pre/Text,231,1980,2013,0,0,0,231,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,231,0,0,0
Rhetoric of Health and Medicine,202,2018,2026,202,0,0,0,202,100.0,200,99.0,202,100.0,0,0.0,0,0,0.0,56,111,0,0.0,295,468,202,100.0,146,0,56,0
Literacy in Composition Studies,191,2007,2026,0,0,191,0,163,85.3,155,81.2,163,85.3,138,84.7,8115,1605,19.8,102,527,363,22.6,519,1161,163,85.3,36,53,17,85
Journal of Response to Writing,137,2015,2026,0,0,137,0,0,0.0,124,90.5,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,137,0,0,0
Open Words: Access and English Studies,135,2006,2023,135,0,0,0,135,100.0,0,0.0,135,100.0,126,93.3,2475,423,17.1,17,18,18,4.3,38,0,0,0.0,8,110,1,16
Prompt: A Journal of Academic Writing Assignments,127,2016,2026,127,0,0,0,127,100.0,120,94.5,127,100.0,0,0.0,0,0,0.0,13,17,0,0.0,34,106,127,100.0,114,0,13,0
Double Helix,112,2012,2024,112,0,0,0,112,100.0,58,51.8,112,100.0,101,90.2,2032,201,9.9,28,44,35,17.4,100,239,112,100.0,11,73,0,28
Basic Writing e-Journal,108,1999,2020,0,108,0,0,0,0.0,34,31.5,0,0.0,0,0.0,0,0,0.0,1,4,0,0.0,0,0,0,0.0,107,0,1,0
Journal of Writing Analytics,95,2017,2026,95,0,0,0,95,100.0,23,24.2,95,100.0,85,89.5,4300,799,18.6,63,249,196,24.5,404,498,95,100.0,8,24,2,61
Communication Design Quarterly Review,65,2001,2012,65,0,0,0,65,100.0,65,100.0,65,100.0,5,7.7,50,2,4.0,4,4,0,0.0,13,21,65,100.0,59,2,1,3
Journal of Multimodal Rhetorics,55,2019,2026,0,55,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,55,0,0,0
