journal,era,articles,refs_attempted,with_outbound,refs_attempted_pct,outbound_yield_pct
Across the Disciplines,2000s,85,85,70,100.0,82.4
Across the Disciplines,2010s,182,182,171,100.0,94.0
Across the Disciplines,2020+,103,103,99,100.0,96.1
Advances in the History of Rhetoric,pre-2000,13,13,4,100.0,30.8
Advances in the History of Rhetoric,2000s,102,102,79,100.0,77.5
Advances in the History of Rhetoric,2010s,197,197,155,100.0,78.7
Argumentation,pre-2000,488,488,209,100.0,42.8
Argumentation,2000s,371,371,299,100.0,80.6
Argumentation,2010s,315,315,281,100.0,89.2
Argumentation,2020+,220,220,202,100.0,91.8
Assessing Writing,pre-2000,107,107,64,100.0,59.8
Assessing Writing,2000s,170,170,105,100.0,61.8
Assessing Writing,2010s,316,316,236,100.0,74.7
Assessing Writing,2020+,446,443,400,99.3,89.7
Basic Writing e-Journal,pre-2000,9,0,0,0.0,0.0
Basic Writing e-Journal,2000s,51,0,0,0.0,0.0
Basic Writing e-Journal,2010s,42,0,0,0.0,0.0
Basic Writing e-Journal,2020+,6,0,0,0.0,0.0
Business and Professional Communication Quarterly,2010s,195,195,170,100.0,87.2
Business and Professional Communication Quarterly,2020+,322,322,298,100.0,92.5
College Composition and Communication,pre-2000,5544,5544,0,100.0,0.0
College Composition and Communication,2000s,675,675,0,100.0,0.0
College Composition and Communication,2010s,485,485,50,100.0,10.3
College Composition and Communication,2020+,233,233,175,100.0,75.1
College English,pre-2000,9510,9510,0,100.0,0.0
College English,2000s,582,582,0,100.0,0.0
College English,2010s,389,389,51,100.0,13.1
College English,2020+,202,202,162,100.0,80.2
Communication Design Quarterly,2010s,223,223,170,100.0,76.2
Communication Design Quarterly,2020+,191,191,180,100.0,94.2
Communication Design Quarterly Review,2000s,55,55,1,100.0,1.8
Communication Design Quarterly Review,2010s,10,10,4,100.0,40.0
Community Literacy Journal,2000s,89,89,0,100.0,0.0
Community Literacy Journal,2010s,208,208,0,100.0,0.0
Community Literacy Journal,2020+,168,168,0,100.0,0.0
Composition Forum,2000s,60,60,0,100.0,0.0
Composition Forum,2010s,293,293,0,100.0,0.0
Composition Forum,2020+,200,152,0,76.0,0.0
Composition Studies,2010s,88,0,0,0.0,0.0
Composition Studies,2020+,247,0,0,0.0,0.0
Computers and Composition,pre-2000,455,455,257,100.0,56.5
Computers and Composition,2000s,430,430,256,100.0,59.5
Computers and Composition,2010s,482,482,321,100.0,66.6
Computers and Composition,2020+,304,304,244,100.0,80.3
Computers and Composition Digital Press,2000s,1,0,0,0.0,0.0
Computers and Composition Digital Press,2010s,214,0,0,0.0,0.0
Computers and Composition Digital Press,2020+,92,0,0,0.0,0.0
Double Helix,2010s,71,71,61,100.0,85.9
Double Helix,2020+,41,41,40,100.0,97.6
Enculturation,pre-2000,76,0,0,0.0,0.0
Enculturation,2000s,112,0,0,0.0,0.0
Enculturation,2010s,196,0,0,0.0,0.0
Enculturation,2020+,65,0,0,0.0,0.0
IEEE Transactions on Professional Communication,pre-2000,1684,1684,338,100.0,20.1
IEEE Transactions on Professional Communication,2000s,621,621,295,100.0,47.5
IEEE Transactions on Professional Communication,2010s,583,583,252,100.0,43.2
IEEE Transactions on Professional Communication,2020+,358,358,182,100.0,50.8
"JAC: A Journal of Rhetoric, Culture, and Politics",pre-2000,500,0,0,0.0,0.0
"JAC: A Journal of Rhetoric, Culture, and Politics",2000s,546,0,0,0.0,0.0
"JAC: A Journal of Rhetoric, Culture, and Politics",2010s,134,0,0,0.0,0.0
Journal of Academic Writing,2010s,146,146,0,100.0,0.0
Journal of Academic Writing,2020+,99,99,0,100.0,0.0
Journal of Business and Technical Communication,pre-2000,344,344,218,100.0,63.4
Journal of Business and Technical Communication,2000s,338,338,215,100.0,63.6
Journal of Business and Technical Communication,2010s,215,215,184,100.0,85.6
